entry_date,entry_price,exit_date,exit_price,qty,pnl,pct_return,holding_days,exit_reason,cash_before,cash_after
8/2/2016,1.12392168,8/7/2016,1.108675385,3977.557474,-60.64301464,-1.356526462,5,trailing_atr,8940.926158,8880.283143
9/14/2016,1.1279637,9/23/2016,1.123487975,3936.422397,-17.61834413,-0.3967969,9,ma_cross,8880.283143,8862.664799
10/2/2016,1.12498221,10/10/2016,1.119469985,3939.024422,-21.7127889,-0.489983304,8,ma_cross,8862.664799,8840.95201
11/4/2016,1.11467706,11/10/2016,1.094822315,3965.701066,-78.73798341,-1.781210515,6,trailing_atr,8840.95201,8762.214027
12/7/2016,1.07737842,12/9/2016,1.062438515,4066.451427,-60.75239801,-1.386690574,2,trailing_atr,8762.214027,8701.461629
1/4/2017,1.050655065,2/8/2017,1.070854305,4140.969724,83.64444129,1.922537726,35,trailing_atr,8701.461629,8785.10607
3/12/2017,1.069784625,3/30/2017,1.076251605,4106.016232,26.55352485,0.604512333,18,trailing_atr,8785.10607,8811.659595
4/21/2017,1.074326895,6/2/2017,1.12793575,4101.014149,219.8506729,4.989994689,42,take_profit,8811.659595,9031.510268
6/29/2017,1.145122275,8/16/2017,1.177341035,3943.469822,127.0537078,2.81356504,48,ma_cross,9031.510268,9158.563976
8/27/2017,1.196547975,8/31/2017,1.191693855,3827.07763,-18.57709406,-0.405677006,4,trailing_atr,9158.563976,9139.986882
10/18/2017,1.181120265,10/27/2017,1.163787815,3869.202465,-67.06275827,-1.467458523,9,trailing_atr,9139.986882,9072.924123
11/16/2017,1.18067004,12/8/2017,1.17685128,3842.277612,-14.67273605,-0.32344007,22,trailing_atr,9072.924123,9058.251387
12/24/2017,1.185742575,1/25/2018,1.253103135,3819.65343,257.293994,5.680875548,32,take_profit,9058.251387,9315.545381
2/22/2018,1.2358176,2/28/2018,1.22350794,3768.980706,-46.39487104,-0.996074178,6,ma_cross,9315.545381,9269.15051
3/12/2018,1.235167275,3/20/2018,1.234832275,3752.184298,-1.25698174,-0.027121833,8,ma_cross,9269.15051,9267.893529
3/22/2018,1.23945942,3/25/2018,1.236111635,3738.683727,-12.5163093,-0.270100412,3,ma_cross,9267.893529,9255.377219
3/29/2018,1.23413676,4/6/2018,1.228455465,3749.737274,-21.30336362,-0.460345659,8,ma_cross,9255.377219,9234.073856
4/18/2018,1.240329855,4/22/2018,1.2281856,3722.426667,-45.20609866,-0.979114947,4,trailing_atr,9234.073856,9188.867757
6/11/2018,1.182641025,6/15/2018,1.162108655,3884.893033,-79.76606116,-1.73614559,4,trailing_atr,9188.867757,9109.101696
7/5/2018,1.172596005,7/22/2018,1.173942735,3884.160298,5.230915198,0.114850297,17,ma_cross,9109.101696,9114.332611
7/31/2018,1.17516729,8/2/2018,1.166166625,3877.887297,-34.90356447,-0.765904997,2,ma_cross,9114.332611,9079.429047
8/27/2018,1.169934675,9/9/2018,1.15550196,3880.314534,-56.00347378,-1.233634263,13,trailing_atr,9079.429047,9023.425573
9/19/2018,1.172075745,9/30/2018,1.161149135,3849.335511,-42.06018788,-0.932244358,11,trailing_atr,9023.425573,8981.365385
10/22/2018,1.155587505,10/23/2018,1.14876533,3886.060271,-26.51138323,-0.590364206,1,ma_cross,8981.365385,8954.854002
11/25/2018,1.134637035,12/3/2018,1.13739102,3946.131549,10.86758709,0.24271947,8,ma_cross,8954.854002,8965.721589
12/13/2018,1.13988966,12/23/2018,1.13681131,3932.714676,-12.10627222,-0.27005684,10,ma_cross,8965.721589,8953.615317
12/24/2018,1.14441192,1/16/2019,1.14190876,3911.884855,-9.792073695,-0.218728935,23,trailing_atr,8953.615317,8943.823243
2/3/2019,1.146382905,2/8/2019,1.13451246,3900.888265,-46.3052796,-1.035469471,5,trailing_atr,8943.823243,8897.517963
2/27/2019,1.14093018,3/6/2019,1.131883775,3899.238586,-35.27409144,-0.792897336,7,trailing_atr,8897.517963,8862.243872
3/21/2019,1.144301865,3/24/2019,1.129544945,3872.33655,-57.14376068,-1.289600275,3,trailing_atr,8862.243872,8805.100111
4/15/2019,1.132656045,4/24/2019,1.121848795,3886.925846,-42.00697935,-0.95415109,9,trailing_atr,8805.100111,8763.093132
5/10/2019,1.12592268,5/21/2019,1.1182406,3891.516393,-29.89494025,-0.682291967,11,ma_cross,8763.093132,8733.198192
6/4/2019,1.12830387,6/16/2019,1.12115914,3870.055941,-27.65050479,-0.633227466,12,trailing_atr,8733.198192,8705.547687
8/11/2019,1.1213604,8/16/2019,1.110574435,3881.69035,-41.86777625,-0.961864268,5,trailing_atr,8705.547687,8663.679911
9/16/2019,1.108984215,9/25/2019,1.10112916,3906.133105,-30.68289038,-0.708310803,9,ma_cross,8663.679911,8632.99702
10/13/2019,1.104401925,11/7/2019,1.10858543,3908.448919,16.3510156,0.378802762,25,ma_cross,8632.99702,8649.348036
11/27/2019,1.10277111,11/29/2019,1.10226859,3921.642468,-1.970703773,-0.04556884,2,ma_cross,8649.348036,8647.377332
12/6/2019,1.111525485,12/22/2019,1.107575935,3889.869125,-15.3632326,-0.355326986,16,trailing_atr,8647.377332,8632.014099
1/1/2020,1.12274109,1/9/2020,1.11148398,3844.169496,-43.27423887,-1.002645231,8,trailing_atr,8632.014099,8588.739861
3/1/2020,1.107943695,3/13/2020,1.121568935,3875.982101,52.81118636,1.229777295,12,trailing_atr,8588.739861,8641.551047
4/5/2020,1.08268107,4/9/2020,1.09461242,3990.811,47.61576282,1.102018898,4,ma_cross,8641.551047,8689.16681
5/5/2020,1.09312629,5/14/2020,1.081848805,3974.456972,-44.82187889,-1.031672653,9,ma_cross,8689.16681,8644.344931
5/22/2020,1.095897675,6/21/2020,1.11818063,3943.956232,87.88299925,2.033306166,30,trailing_atr,8644.344931,8732.22793
7/8/2020,1.13574759,8/18/2020,1.19596172,3844.264345,231.479033,5.301717611,41,take_profit,8732.22793,8963.706963
10/9/2020,1.18369155,10/29/2020,1.175282065,3786.335622,-31.84113262,-0.710445639,20,trailing_atr,8963.706963,8931.86583
11/12/2020,1.182901155,1/10/2021,1.22222858,3775.406674,148.4770228,3.324658602,59,trailing_atr,8931.86583,9080.342853
2/17/2021,1.21042491,2/28/2021,1.208585405,3750.890608,-6.899782028,-0.151971839,11,trailing_atr,9080.342853,9073.443071
4/12/2021,1.19249595,5/5/2021,1.202048675,3804.391567,36.34230643,0.801069807,23,trailing_atr,9073.443071,9109.785378
8/2/2021,1.19027484,8/8/2021,1.17551195,3826.757095,-56.49399405,-1.240292536,6,trailing_atr,9109.785378,9053.291384
8/31/2021,1.18509225,9/17/2021,1.17829056,3819.656817,-25.98012158,-0.573937599,17,trailing_atr,9053.291384,9027.311262
10/21/2021,1.16732337,10/31/2021,1.15584179,3866.671179,-44.39549447,-0.983581782,10,trailing_atr,9027.311262,8982.915768
12/7/2021,1.13040492,12/19/2021,1.123827805,3973.317706,-26.13296749,-0.581837082,12,trailing_atr,8982.915768,8956.7828
12/27/2021,1.13400672,12/28/2021,1.132743345,3949.175363,-4.989289424,-0.11140807,1,ma_cross,8956.7828,8951.793511
12/30/2021,1.136537985,1/19/2022,1.135142145,3938.184922,-5.497076041,-0.122815077,20,trailing_atr,8951.793511,8946.296435
2/9/2022,1.145342385,2/20/2022,1.131963735,3905.511815,-52.25047565,-1.168091758,11,trailing_atr,8946.296435,8894.045959
3/24/2022,1.10191068,4/5/2022,1.09831057,4035.738159,-14.5291013,-0.326715229,12,trailing_atr,8894.045959,8879.516858
5/25/2022,1.074186825,6/10/2022,1.06368789,4133.134317,-43.39350854,-0.977384451,16,trailing_atr,8879.516858,8836.123349
7/1/2022,1.048353915,7/4/2022,1.045746865,4214.284519,-10.98685046,-0.248680332,3,ma_cross,8836.123349,8825.136499
7/26/2022,1.0255125,8/9/2022,1.02420764,4302.793237,-5.614542783,-0.127239795,14,ma_cross,8825.136499,8819.521956
8/10/2022,1.037368425,8/16/2022,1.01897026,4250.911124,-78.20896427,-1.773542028,6,trailing_atr,8819.521956,8741.312992
9/12/2022,1.020279885,9/14/2022,1.00183883,4283.781892,-78.99745747,-1.807450609,2,trailing_atr,8741.312992,8662.315534
10/11/2022,0.977938725,10/17/2022,0.9847074,4428.864157,29.9775421,0.692136923,6,ma_cross,8662.315534,8692.293076
